title,pubDate,guid,link,description
Northumberland farm welcomes five-legged lamb,"Sun, 13 Mar 2022 07:25:12 GMT",https://www.bbc.co.uk/news/uk-england-tyne-60715158,https://www.bbc.co.uk/news/uk-england-tyne-60715158?at_medium=RSS&at_campaign=KARANGA,It is the second time Whitehouse Farm in Northumberland has had a lamb with an extra limb.
Reproductive coercion: 'I wasn't allowed to take my pill',"Mon, 14 Mar 2022 01:15:17 GMT",https://www.bbc.co.uk/news/newsbeat-60646285,https://www.bbc.co.uk/news/newsbeat-60646285?at_medium=RSS&at_campaign=KARANGA,A BBC poll suggests 50% of UK women under 45 have experienced a form of reproductive coercion.
British food: How traditional firms are faring under pressure,"Sun, 13 Mar 2022 08:11:30 GMT",https://www.bbc.co.uk/news/uk-england-nottinghamshire-60304829,https://www.bbc.co.uk/news/uk-england-nottinghamshire-60304829?at_medium=RSS&at_campaign=KARANGA,Stilton and pork pie makers have survived for centuries - but what does the future hold?
'I thought I had Covid but it was terminal lung cancer',"Mon, 14 Mar 2022 06:04:45 GMT",https://www.bbc.co.uk/news/uk-wales-60696837,https://www.bbc.co.uk/news/uk-wales-60696837?at_medium=RSS&at_campaign=KARANGA,Doctors call for targeted lung cancer screening to catch cases early and reduce deaths by 20%.
The innovative surfing tech making waves,"Mon, 14 Mar 2022 00:18:49 GMT",https://www.bbc.co.uk/news/business-60689501,https://www.bbc.co.uk/news/business-60689501?at_medium=RSS&at_campaign=KARANGA,"The sport of surfing is modernising, using technology to offer bigger, better and safer thrills."
Deep listening: I realised we all share the same human feelings,"Mon, 14 Mar 2022 00:29:01 GMT",https://www.bbc.co.uk/news/world-60558016,https://www.bbc.co.uk/news/world-60558016?at_medium=RSS&at_campaign=KARANGA,Hawraa was part of a project which encouraged Lebanese citizens with conflicting views to listen to each other.
Rosacea: 'Your skin doesn't define you',"Mon, 14 Mar 2022 00:33:55 GMT",https://www.bbc.co.uk/news/uk-england-lincolnshire-60487031,https://www.bbc.co.uk/news/uk-england-lincolnshire-60487031?at_medium=RSS&at_campaign=KARANGA,People diagnosed with the skin condition rosacea talk about its impact on their mental health.
The Muslim women learning to ride a bike in their 40s,"Mon, 14 Mar 2022 06:50:21 GMT",https://www.bbc.co.uk/news/uk-scotland-glasgow-west-60710565,https://www.bbc.co.uk/news/uk-scotland-glasgow-west-60710565?at_medium=RSS&at_campaign=KARANGA,Hijabi riders is introducing cycling to Muslim women who never learned to ride a bike as a child.
'No doubt I'll stay until end of season' - Tuchel pledges future as Chelsea taking things 'day by day',"Sun, 13 Mar 2022 18:31:07 GMT",https://www.bbc.co.uk/sport/football/60730591,https://www.bbc.co.uk/sport/football/60730591?at_medium=RSS&at_campaign=KARANGA,"Chelsea boss Thomas Tuchel says he and his players should fight for everyone at the club after insisting he'll stay at least ""until the end of the season""."
'So emotional for me' - Ukraine's Yarmolenko scores as West Ham beat Aston Villa,"Sun, 13 Mar 2022 18:35:17 GMT",https://www.bbc.co.uk/sport/football/60635701,https://www.bbc.co.uk/sport/football/60635701?at_medium=RSS&at_campaign=KARANGA,Ukraine international Andriy Yarmolenko scores the opener against Aston Villa in his first West Ham appearance since the outbreak of war in his native country.
"Garth Crooks' Team of the Week: Ronaldo, Diaz, Eriksen, Yarmolenko, Rudiger","Sun, 13 Mar 2022 21:37:16 GMT",https://www.bbc.co.uk/sport/football/60730914,https://www.bbc.co.uk/sport/football/60730914?at_medium=RSS&at_campaign=KARANGA,Who got Garth into trouble at the petrol station? Which striker might be a good buy for Arsenal? Find out in Garth Crooks' latest Team of the Week.
Matt Dawson column: England’s Ireland loss is gold dust for World Cup,"Sun, 13 Mar 2022 17:48:54 GMT",https://www.bbc.co.uk/sport/rugby-union/60729793,https://www.bbc.co.uk/sport/rugby-union/60729793?at_medium=RSS&at_campaign=KARANGA,Ex-England scrum-half Matt Dawson explains why England's loss to Ireland is gold dust and how they might beat France on Saturday.
Women's World Cup: Watch bizarre Nat Sciver dismissal for England against South Africa,"Mon, 14 Mar 2022 02:26:57 GMT",https://www.bbc.co.uk/sport/av/cricket/60732595,https://www.bbc.co.uk/sport/av/cricket/60732595?at_medium=RSS&at_campaign=KARANGA,Watch Nat Sciver's bizarre dismissal as the England all-rounder manages to hit it to slip off the back of her bat leaving England 42-3.
MOTD2 analysis: Could Patrick Bamford be the difference for Leeds United?,"Mon, 14 Mar 2022 00:24:04 GMT",https://www.bbc.co.uk/sport/av/football/60732205,https://www.bbc.co.uk/sport/av/football/60732205?at_medium=RSS&at_campaign=KARANGA,Match of the Day 2 pundit and ex-England striker Ian Wright highlights the contribution that Patrick Bamford made for Leeds United in Sunday's 2-1 win over Norwich City.
Ukraine war: Editor interrupts Russian TV news show,"Mon, 14 Mar 2022 22:09:03 GMT",https://www.bbc.co.uk/news/world-europe-60744605,https://www.bbc.co.uk/news/world-europe-60744605?at_medium=RSS&at_campaign=KARANGA,The staffer held a sign reading 'no war' behind a newsreader on Russian state-controlled TV.
Homes for Ukraine refugee scheme launches in UK,"Tue, 15 Mar 2022 01:03:36 GMT",https://www.bbc.co.uk/news/uk-60741942,https://www.bbc.co.uk/news/uk-60741942?at_medium=RSS&at_campaign=KARANGA,Those wanting to host an individual or family from Ukraine can now register their interest online.
Ukraine war: West made 'terrible mistake' after Crimea - PM,"Tue, 15 Mar 2022 05:21:09 GMT",https://www.bbc.co.uk/news/uk-60745961,https://www.bbc.co.uk/news/uk-60745961?at_medium=RSS&at_campaign=KARANGA,"Boris Johnson says the West allowed President Putin to ""get away"" with annexing the peninsula in 2014."
Roman Abramovich: New evidence highlights corrupt deals,"Mon, 14 Mar 2022 17:01:57 GMT",https://www.bbc.co.uk/news/world-europe-60736185,https://www.bbc.co.uk/news/world-europe-60736185?at_medium=RSS&at_campaign=KARANGA,BBC Panorama uncovers new evidence on the corrupt deals that helped Chelsea's owner make his fortune.
NHS struggling with 'long tail' of pandemic mental ill health,"Tue, 15 Mar 2022 00:07:45 GMT",https://www.bbc.co.uk/news/health-60734769,https://www.bbc.co.uk/news/health-60734769?at_medium=RSS&at_campaign=KARANGA,There were 4.3 million NHS referrals for conditions such as anxiety and depression in 2021 across England.
Ukraine war: Pub dedicated to Hemingway destroyed in Kharkiv,"Mon, 14 Mar 2022 21:39:57 GMT",https://www.bbc.co.uk/news/world-europe-60742255,https://www.bbc.co.uk/news/world-europe-60742255?at_medium=RSS&at_campaign=KARANGA,The Old Hem pub in Kharkiv was a well-known hangout for young poets and musicians.
Scotland's decision day for easing final Covid rules,"Mon, 14 Mar 2022 22:53:25 GMT",https://www.bbc.co.uk/news/uk-scotland-60736253,https://www.bbc.co.uk/news/uk-scotland-60736253?at_medium=RSS&at_campaign=KARANGA,Nicola Sturgeon will announce whether the last measures will end as planned on Monday amid a new surge.
Russia-Ukraine war: British Fox News journalist injured,"Mon, 14 Mar 2022 22:31:52 GMT",https://www.bbc.co.uk/news/world-us-canada-60741229,https://www.bbc.co.uk/news/world-us-canada-60741229?at_medium=RSS&at_campaign=KARANGA,"Benjamin Hall, 39, was reportedly news gathering outside Kyiv at the time of Monday's incident."
Putin changes law on leased jets to keep them flying,"Mon, 14 Mar 2022 18:21:38 GMT",https://www.bbc.co.uk/news/business-60741161,https://www.bbc.co.uk/news/business-60741161?at_medium=RSS&at_campaign=KARANGA,The Russian president signs new law allowing foreign-leased jets to keep flying in Russia.
Ukraine: Eight arrests at oligarch's London mansion after balcony protest,"Mon, 14 Mar 2022 21:21:13 GMT",https://www.bbc.co.uk/news/uk-england-london-60736583,https://www.bbc.co.uk/news/uk-england-london-60736583?at_medium=RSS&at_campaign=KARANGA,"Protesters wanted the property, believed to be owned by Oleg Deripaska, to house Ukrainian refugees."
China: Businesses shut as officials widen Covid lockdowns,"Tue, 15 Mar 2022 04:49:41 GMT",https://www.bbc.co.uk/news/world-asia-china-60703301,https://www.bbc.co.uk/news/world-asia-china-60703301?at_medium=RSS&at_campaign=KARANGA,"Toyota, Volkswagen and Apple supplier Foxconn are among firms halting their operations."
Outdoor civil weddings and partnerships here to stay,"Tue, 15 Mar 2022 00:08:08 GMT",https://www.bbc.co.uk/news/uk-60745573,https://www.bbc.co.uk/news/uk-60745573?at_medium=RSS&at_campaign=KARANGA,Non-religious ceremonies in England and Wales were first allowed outside during the pandemic.
Cheltenham Festival 2022: What to watch out for at four-day meeting,"Mon, 14 Mar 2022 14:02:15 GMT",https://www.bbc.co.uk/sport/horse-racing/60678008,https://www.bbc.co.uk/sport/horse-racing/60678008?at_medium=RSS&at_campaign=KARANGA,What to watch out for as racing's four-day Cheltenham Festival starts on Tuesday with spectators back for the first time in two years.
Ukraine war: A baby born under bombardment in Bucha,"Tue, 15 Mar 2022 00:49:38 GMT",https://www.bbc.co.uk/news/world-europe-60739206,https://www.bbc.co.uk/news/world-europe-60739206?at_medium=RSS&at_campaign=KARANGA,"Unable to flee, Anna gave birth at home in Ukraine without medical assistance, electricity or running water."
